,ano,id_municipio,pop_total,pop_total_brancos,pop_total_pretos,pop_total_pardos,pop_homens,pop_homens_brancos,pop_homens_pretos,pop_homens_pardos,pop_mulheres,pop_mulheres_brancas,pop_mulheres_pretas,pop_mulheres_pardas
0,2012,1100205,458000.0,128000.0,31000.0,296000.0,222000.0,60000.0,19000.0,142000.0,236000.0,67000.0,13000.0,154000.0
1,2013,1100205,468000.0,122000.0,28000.0,314000.0,238000.0,58000.0,16000.0,162000.0,230000.0,64000.0,12000.0,152000.0
2,2014,1100205,478000.0,102000.0,17000.0,358000.0,238000.0,45000.0,9000.0,184000.0,240000.0,57000.0,9000.0,175000.0
3,2015,1100205,489000.0,110000.0,23000.0,355000.0,243000.0,49000.0,12000.0,182000.0,246000.0,61000.0,11000.0,173000.0
4,2016,1100205,499000.0,108000.0,36000.0,349000.0,242000.0,50000.0,20000.0,170000.0,256000.0,58000.0,16000.0,179000.0
5,2017,1100205,509000.0,120000.0,33000.0,352000.0,247000.0,53000.0,19000.0,174000.0,261000.0,68000.0,14000.0,178000.0
6,2018,1100205,519000.0,119000.0,37000.0,352000.0,254000.0,54000.0,20000.0,174000.0,265000.0,65000.0,17000.0,178000.0
7,2019,1100205,529000.0,111000.0,40000.0,368000.0,254000.0,50000.0,22000.0,177000.0,275000.0,61000.0,19000.0,191000.0
8,2012,1200401,364000.0,92000.0,22000.0,248000.0,172000.0,44000.0,13000.0,115000.0,191000.0,48000.0,9000.0,133000.0
9,2013,1200401,370000.0,90000.0,22000.0,257000.0,179000.0,42000.0,13000.0,123000.0,191000.0,48000.0,9000.0,134000.0
10,2014,1200401,376000.0,82000.0,16000.0,277000.0,185000.0,37000.0,8000.0,139000.0,192000.0,46000.0,7000.0,138000.0
11,2015,1200401,383000.0,81000.0,22000.0,279000.0,187000.0,40000.0,11000.0,135000.0,196000.0,41000.0,11000.0,144000.0
12,2016,1200401,389000.0,79000.0,26000.0,282000.0,188000.0,37000.0,14000.0,137000.0,201000.0,43000.0,13000.0,145000.0
