ano,id_regiao,sexo,raca_cor,populacao
2012,1,Total,Total,16452000
2012,1,Total,Branca,3529000
2012,1,Total,Preta,917000
2012,1,Total,Parda,11846000
2012,1,Homens,Total,8152000
2012,1,Homens,Branca,1649000
2012,1,Homens,Preta,512000
2012,1,Homens,Parda,5915000
2012,1,Mulheres,Total,8300000
2012,1,Mulheres,Branca,1879000
2012,1,Mulheres,Preta,405000
2012,1,Mulheres,Parda,5931000
2013,1,Total,Total,16687000
2013,1,Total,Branca,3446000
2013,1,Total,Preta,1004000
2013,1,Total,Parda,12099000
2013,1,Homens,Total,8347000
2013,1,Homens,Branca,1649000
2013,1,Homens,Preta,542000
2013,1,Homens,Parda,6093000
2013,1,Mulheres,Total,8340000
2013,1,Mulheres,Branca,1797000
2013,1,Mulheres,Preta,462000
2013,1,Mulheres,Parda,6006000
2014,1,Total,Total,16925000
2014,1,Total,Branca,3327000
2014,1,Total,Preta,1034000
2014,1,Total,Parda,12438000
2014,1,Homens,Total,8464000
2014,1,Homens,Branca,1590000
2014,1,Homens,Preta,559000
2014,1,Homens,Parda,6254000
2014,1,Mulheres,Total,8461000
2014,1,Mulheres,Branca,1736000
2014,1,Mulheres,Preta,474000
2014,1,Mulheres,Parda,6184000
2015,1,Total,Total,17164000
2015,1,Total,Branca,3421000
2015,1,Total,Preta,1101000
2015,1,Total,Parda,12507000
2015,1,Homens,Total,8577000
2015,1,Homens,Branca,1643000
2015,1,Homens,Preta,
2015,1,Homens,Parda,6272000
2015,1,Mulheres,Total,8587000
2015,1,Mulheres,Branca,1778000
2015,1,Mulheres,Preta,501000
2015,1,Mulheres,Parda,6234000
2016,1,Total,Total,17392000
2016,1,Total,Branca,3382000
2016,1,Total,Preta,1213000
2016,1,Total,Parda,12587000
2016,1,Homens,Total,8693000
2016,1,Homens,Branca,1600000
2016,1,Homens,Preta,665000
2016,1,Homens,Parda,6332000
2016,1,Mulheres,Total,8699000
2016,1,Mulheres,Branca,1782000
2016,1,Mulheres,Preta,548000
2016,1,Mulheres,Parda,6255000
2017,1,Total,Total,17625000
2017,1,Total,Branca,3542000
2017,1,Total,Preta,1261000
2017,1,Total,Parda,12561000
2017,1,Homens,Total,8772000
2017,1,Homens,Branca,1682000
2017,1,Homens,Preta,689000
2017,1,Homens,Parda,6285000
2017,1,Mulheres,Total,8853000
2017,1,Mulheres,Branca,1860000
2017,1,Mulheres,Preta,572000
2017,1,Mulheres,Parda,6276000
2018,1,Total,Total,17871000
2018,1,Total,Branca,3455000
2018,1,Total,Preta,1261000
2018,1,Total,Parda,12827000
2018,1,Homens,Total,8918000
2018,1,Homens,Branca,1631000
2018,1,Homens,Preta,675000
2018,1,Homens,Parda,6457000
2018,1,Mulheres,Total,8953000
2018,1,Mulheres,Branca,1824000
2018,1,Mulheres,Preta,586000
2018,1,Mulheres,Parda,6369000
2019,1,Total,Total,18113000
2019,1,Total,Branca,3452000
2019,1,Total,Preta,1323000
2019,1,Total,Parda,13069000
2019,1,Homens,Total,8925000
2019,1,Homens,Branca,1639000
2019,1,Homens,Preta,699000
2019,1,Homens,Parda,6464000
2019,1,Mulheres,Total,9188000
2019,1,Mulheres,Branca,1813000
2019,1,Mulheres,Preta,624000
2019,1,Mulheres,Parda,6606000
2012,2,Total,Total,54741000
2012,2,Total,Branca,14502000
2012,2,Total,Preta,4756000
2012,2,Total,Parda,35248000
2012,2,Homens,Total,26379000
2012,2,Homens,Branca,6689000
2012,2,Homens,Preta,2395000
2012,2,Homens,Parda,17195000
2012,2,Mulheres,Total,28362000
2012,2,Mulheres,Branca,7813000
2012,2,Mulheres,Preta,2361000
2012,2,Mulheres,Parda,18053000
2013,2,Total,Total,55050000
2013,2,Total,Branca,14602000
2013,2,Total,Preta,4714000
2013,2,Total,Parda,35558000
2013,2,Homens,Total,26706000
2013,2,Homens,Branca,6801000
2013,2,Homens,Preta,2431000
2013,2,Homens,Parda,17396000
2013,2,Mulheres,Total,28344000
2013,2,Mulheres,Branca,7801000
2013,2,Mulheres,Preta,2282000
2013,2,Mulheres,Parda,18162000
2014,2,Total,Total,55361000
2014,2,Total,Branca,14458000
2014,2,Total,Preta,4718000
2014,2,Total,Parda,36016000
2014,2,Homens,Total,26747000
2014,2,Homens,Branca,6713000
2014,2,Homens,Preta,2351000
2014,2,Homens,Parda,17597000
2014,2,Mulheres,Total,28615000
2014,2,Mulheres,Branca,7746000
2014,2,Mulheres,Preta,2366000
2014,2,Mulheres,Parda,18419000
2015,2,Total,Total,55688000
2015,2,Total,Branca,14188000
2015,2,Total,Preta,5111000
2015,2,Total,Parda,36186000
2015,2,Homens,Total,26888000
2015,2,Homens,Branca,6657000
2015,2,Homens,Preta,2508000
2015,2,Homens,Parda,17633000
2015,2,Mulheres,Total,28799000
2015,2,Mulheres,Branca,7531000
2015,2,Mulheres,Preta,2604000
2015,2,Mulheres,Parda,18554000
2016,2,Total,Total,55997000
2016,2,Total,Branca,13938000
2016,2,Total,Preta,5497000
2016,2,Total,Parda,36247000
2016,2,Homens,Total,27004000
2016,2,Homens,Branca,6450000
2016,2,Homens,Preta,2722000
2016,2,Homens,Parda,17678000
2016,2,Mulheres,Total,28993000
2016,2,Mulheres,Branca,7488000
2016,2,Mulheres,Preta,2775000
2016,2,Mulheres,Parda,18569000
2017,2,Total,Total,56300000
2017,2,Total,Branca,13989000
2017,2,Total,Preta,5857000
2017,2,Total,Parda,36137000
2017,2,Homens,Total,27125000
2017,2,Homens,Branca,6607000
2017,2,Homens,Preta,2896000
2017,2,Homens,Parda,17481000
2017,2,Mulheres,Total,29175000
2017,2,Mulheres,Branca,7383000
2017,2,Mulheres,Preta,2961000
2017,2,Mulheres,Parda,18656000
